TIPO DE USO,CLASE DE FUENTE,CUENCA,CÓDIGO DE CUENCA,DISPONIBILIDAD HÍDRICA,AUTORIDAD LOCAL DEL AGUA (ALA),AUTORIDAD ADMINISTRATIVA DEL AGUA (AAA),DEPARTAMENTO,PROVINCIA,DISTRITO,RAZÓN SOCIAL,N DE RUC,VIGENTE EN REGISTRO DE LA ANA,TIPO DE PERMISO,TIPO DE FUENTE DE AGUA,NOMBRE DE LA FUENTE DE AGUA,N° DE RESOLUCIÓN
Minero,Superficial,Cuenca Inambari,46648,Alta,Tambota - Inambari,Madre De Dios,Cusco,Quispicanchi,Camanti,Almetur  S.R.L.,20527652694,NO,Licencia,Río,Huadjiumbre,0108-2010
Minero,Superficial,Cuenca Inambari,46648,Alta,Tambota - Inambari,Madre De Dios,Cusco,Quispicanchi,Camanti,Almetur  S.R.L.,20527652694,SI,Licencia,Río,Huadjiumbre,0109-2010
Minero,Superficial,Cuenca Inambari,46648,Alta,Tahuamanu - Madre de Dios,Madre De Dios,Cusco,Quispicanchi,Camanti,Almetur  S.R.L.,20527652694,SI,Licencia,Río,San Lorenzo,0310-2014
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Sicuani,Urubamba Vilcanota,Cusco,Chumbivilcas,Quiñota,Anabi S.A.C.,20517187551,SI,Licencia,Río,Chonta,0044-2010
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Sicuani,Urubamba Vilcanota,Cusco,Chumbivilcas,Quiñota,Anabi S.A.C.,20517187551,SI,Licencia,Manantial,Quellocirca,0044-2010
Minero,Subterráneo,Cuenca Yauca,13716,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Lucanas,Chaviña,Anabi S.A.C.,20517187551,NO,Autorización,Acuífero,No Identificado,0032-2011
Minero,Subterráneo,Cuenca Yauca,13716,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Lucanas,Chaviña,Anabi S.A.C.,20517187551,NO,Autorización,Acuífero,No Identificado,0032-2011
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,NO,Autorización,Manantial,Jehuinchani,0251-2011
Poblacional,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,NO,Autorización,Manantial,Jehuinchani,0251-2011
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,NO,Autorización,Manantial,Ccapo,0251-2011
Poblacional,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,NO,Autorización,Manantial,Ccapo,0251-2011
Minero,Superficial,Cuenca Acari,13718,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Lucanas,Puquio,Anabi S.A.C.,20517187551,NO,Autorización,Quebrada, Pallcahuayco,0034-2011
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Alto Apurímac-Velille,Pampas Apurímac,Cusco,Chumbivilcas,Quiñota,Anabi S.A.C.,20517187551,SI,Licencia,Quebrada,Yanama,0213-2012
Minero,Superficial,Cuenca Yauca,13716,Media,Chaparra Acari,Chaparra Chincha,Ayacucho,Lucanas,Chaviña,Anabi S.A.C.,20517187551,NO,Autorización,Quebrada,Jellocasa,0239-2012
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Alto Apurímac-Velille,Pampas Apurímac,Cusco,Chumbivilcas,Quiñota,Anabi S.A.C.,20517187551,NO,Autorización,Laguna,Aparayoc,0315-2012
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,SI,Autorización,Manantial,Macccachayocc,0542-2014 
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,SI,Licencia,Manantial,Jehuinchani,0812-2014
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Antabamba,Huaquirca,Anabi S.A.C.,20517187551,SI,Licencia,Quebrada,Llancopampa,0192-2016 
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Cotabambas,Haquira,Anabi S.A.C.,20517187551,SI,Autorización,Manantial,Huacullo,0437-2016
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Cotabambas,Haquira,Anabi S.A.C.,20517187551,SI,Autorización,Manantial,M-01,0437-2016
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Cotabambas,Haquira,Anabi S.A.C.,20517187551,SI,Licencia,Laguna,Soctaccocha,0578-2016
Minero,Superficial,Intercuenca Alto Apurímac,4999,Alta,Medio Apurímac Pachachaca,Pampas Apurímac,Apurímac,Cotabambas,Haquira,Anabi S.A.C.,20517187551,SI,Licencia,Laguna,Porecsoro,0578-2016
